homeShotsTotalFT,awayShotsTotalFT,homeShotsOnTargetFT,awayShotsOnTargetFT,homeInterceptionsFT,awayInterceptionsFT,homeTacklesTotalFT,awayTacklesTotalFT,homeTackleSuccessFT,awayTackleSuccessFT,homeFoulsCommitedFT,awayFoulsCommitedFT,homePassesKeyFT,awayPassesKeyFT,homePassSuccessFT,awayPassSuccessFT,homePossessionFT,awayPossessionFT,homeDribbleSuccessFT,awayDribbleSuccessFT,homeAerialsTotalFT,awayAerialsTotalFT,homeCornersTotalFT,awayCornersTotalFT,division
12,17,4,4,13,21,29,27,66.67,69.57,15,20,8,14,64.56,74.42,47.83,52.17,63.64,44.44,36,36,3,7,Serie_A
11,16,4,7,32,14,32,14,62.07,72.73,19,11,8,15,57.15,80.48,31.89,68.11,50,67.65,21,21,4,7,Serie_A
14,10,3,3,19,22,27,24,75,84.21,18,21,11,7,56.87,55.87,53.03,46.97,25,54.17,39,39,9,6,Serie_A
8,17,2,10,11,21,23,18,78.57,68.75,19,18,4,13,75.55,67.02,54.45,45.55,83.33,45.45,24,24,11,6,Serie_A
11,20,3,7,24,21,47,25,59.07,84.21,15,22,8,14,52.53,71.8,40.5,59.5,31.82,56.73,32,32,2,12,Serie_A
14,8,5,0,24,25,27,24,70,60,17,14,12,7,73.9,68.7,52.85,47.15,83.33,50,30,29,7,1,Serie_A
25,5,7,1,24,15,37,25,62.35,52.38,16,15,18,4,77.29,58.86,61.95,38.05,62.5,65.62,39,39,10,0,Serie_A
18,11,4,5,7,14,31,24,84.67,65.91,18,7,15,8,72.71,63.82,55.09,44.91,50,40,31,31,12,0,Serie_A
19,10,4,2,11,18,26,36,75,87.65,13,19,10,6,75.17,64.51,63.43,36.57,33.33,68.75,44,44,10,7,Serie_A
20,15,6,3,19,13,28,23,79.17,61.9,18,17,16,10,61.55,62.75,52.07,47.93,64.29,41.67,26,26,6,4,Serie_A
22,13,7,7,14,19,16,20,66.67,55.88,12,15,15,9,69.27,66.49,55.34,44.66,66.67,83.33,14,14,9,2,Serie_A
17,11,6,2,14,10,24,30,84.09,59.85,11,16,14,8,76.72,58.98,57.58,42.42,58.33,36.36,29,29,9,7,Serie_A
13,14,4,4,25,18,25,42,62.5,67.16,7,13,10,9,81.99,62.88,62.59,37.41,58.73,53.57,32,32,2,4,Serie_A
12,4,4,0,9,19,23,16,85.42,40,13,17,6,3,73.9,61.11,59.58,40.42,75,38.89,42,42,7,1,Serie_A
16,6,6,1,13,15,27,34,56.06,50,17,20,10,3,68.25,76.4,43.55,56.45,75,71.43,22,22,3,1,Serie_A
