homeShotsTotalFT,awayShotsTotalFT,homeShotsOnTargetFT,awayShotsOnTargetFT,homeInterceptionsFT,awayInterceptionsFT,homeTacklesTotalFT,awayTacklesTotalFT,homeTackleSuccessFT,awayTackleSuccessFT,homeFoulsCommitedFT,awayFoulsCommitedFT,homePassesKeyFT,awayPassesKeyFT,homePassSuccessFT,awayPassSuccessFT,homePossessionFT,awayPossessionFT,homeDribbleSuccessFT,awayDribbleSuccessFT,homeAerialsTotalFT,awayAerialsTotalFT,homeCornersTotalFT,awayCornersTotalFT,division
21,11,10,2,21,34,34,18,75,75,12,11,14,9,66.73,73.69,47.65,52.35,38.89,47.22,22,22,7,4,EPL
10,11,2,5,14,11,22,26,88.89,86.96,12,10,7,6,80.95,75.78,53.71,46.29,31.82,27.27,15,15,8,6,EPL
19,15,6,6,5,15,25,20,75,73.53,12,8,16,11,69.7,74.86,39.82,60.18,45,66.67,19,19,3,5,EPL
14,11,5,2,23,24,24,23,79.55,63.54,11,10,10,8,64.96,78.43,45.98,54.02,63.33,27.78,36,36,3,3,EPL
16,8,4,4,7,19,25,37,71.93,61.61,10,14,13,5,77.44,61.07,53.2,46.8,66.18,40,48,48,14,4,EPL
12,16,4,7,18,21,42,37,64.44,90,9,9,9,12,65.53,67.97,46.4,53.6,26.92,65.79,27,27,1,4,EPL
14,27,6,13,13,11,34,23,77.59,72.5,12,8,12,19,58.58,76.71,43.19,56.81,39.29,43.33,34,34,6,12,EPL
24,7,9,3,19,11,24,25,73.81,72.5,12,17,18,3,73.49,68.19,48.02,51.98,50,46.15,19,19,9,7,EPL
21,14,12,5,18,20,20,23,81.25,83.33,8,8,19,6,66.89,55.9,55.47,44.53,38.89,60,51,51,9,10,EPL
19,1,7,0,14,19,14,31,80.77,69,5,14,17,1,83.5,57.1,62.17,37.83,44.74,50,21,21,7,3,EPL
21,7,7,3,33,15,31,23,70.67,61.67,7,16,15,5,71.49,52.86,63.63,36.37,61.54,57.69,40,40,6,3,EPL
9,12,2,3,6,10,32,24,76.79,90.48,12,12,6,10,58.54,64.3,53.35,46.65,28.57,50,47,47,4,2,EPL
18,10,5,5,3,17,28,27,73.91,79.35,9,14,11,7,74.74,67.14,53.21,46.79,26.39,42.86,36,36,7,3,EPL
21,17,10,6,14,15,18,17,94.12,90,13,10,19,14,66.46,67.66,48.46,51.54,37.5,25,22,22,6,4,EPL
12,17,6,5,13,21,31,27,79.35,50.79,9,17,9,12,75.7,68.32,58.17,41.83,63.73,55,34,34,7,7,EPL
14,8,6,6,29,16,27,32,78,76.79,12,15,9,7,76.1,69.53,53.06,46.94,38.24,45.83,11,11,4,3,EPL
11,11,4,2,17,19,33,20,67.39,70.59,21,13,7,8,60.23,74.08,41.55,58.45,46.15,53.33,42,42,4,6,EPL
20,10,4,3,20,3,20,31,68.42,66,7,10,15,6,77.63,55.47,58,42,52.78,85.71,46,46,9,4,EPL
7,17,0,7,15,14,27,15,88.1,71.43,9,12,5,15,53.46,76.47,38.22,61.78,80,25,40,40,2,9,EPL
10,15,5,3,19,12,22,25,80.56,77.27,17,10,9,13,66.85,71.31,46.09,53.91,55,56.25,42,42,7,5,EPL
14,14,3,6,26,21,28,32,79.55,73.21,11,6,9,12,59.1,67.45,48.6,51.4,50,38.46,36,36,2,4,EPL
19,13,6,5,9,20,29,16,75,80.56,14,10,13,8,69.52,67.83,55.17,44.83,29.17,42.86,34,34,5,5,EPL
15,9,6,2,14,14,30,24,68.84,72.5,20,5,14,6,71.19,72.31,45.36,54.64,34.38,48.96,25,25,6,6,EPL
17,8,4,3,22,28,35,19,76.67,78.12,11,13,11,7,72.85,66.41,53.66,46.34,40,72.73,18,18,4,2,EPL
14,11,4,3,14,23,28,35,79.55,80.25,13,15,8,9,61.07,68.46,43.2,56.8,32.5,39.29,42,42,7,3,EPL
26,8,7,3,21,25,28,31,70.29,53.7,7,10,23,8,83.17,63.66,64.33,35.67,64.29,68.18,27,27,12,3,EPL
25,5,7,3,10,21,29,32,60.87,74.67,10,11,17,4,69.64,61.8,58.94,41.06,56.94,73.08,25,25,13,5,EPL
35,3,10,2,18,25,18,29,77.78,56,7,9,23,3,80.01,71.09,52.24,47.76,57.5,40,16,16,10,1,EPL
18,10,5,3,20,13,33,25,87.18,56.82,6,11,12,6,69.35,59.93,53.06,46.94,52.78,37.5,36,36,11,5,EPL
11,11,6,2,27,21,22,29,92.11,77.08,13,11,7,6,66.58,75.12,44.69,55.31,65,30,22,22,7,6,EPL
10,15,3,4,14,14,39,30,80.86,85.9,18,13,6,9,64,66.25,45.26,54.74,40,61.11,39,39,4,10,EPL
15,8,4,4,24,22,30,30,78,67.31,12,14,12,5,58.45,68.17,43.31,56.69,50,68.75,44,44,6,6,EPL
12,7,6,2,4,9,23,16,85,67.86,10,5,8,3,59.29,55.34,56.56,43.44,56.25,57.14,107,107,11,3,EPL
15,18,9,4,23,26,23,22,77.5,78.95,9,11,9,13,78.91,61.18,59.62,40.38,33.33,45.45,33,33,5,2,EPL
15,12,3,3,16,8,23,22,72.5,76.19,8,11,8,10,61.65,61.16,49.27,50.73,35.71,46.15,53,53,5,6,EPL
15,19,6,8,21,14,31,31,46.15,63.89,6,13,10,16,69.5,72.36,47.17,52.83,58.33,70,41,41,11,2,EPL
15,7,4,1,11,15,20,33,71.05,74.14,10,16,12,4,61.78,68.93,47.61,52.39,50,66.67,39,39,3,4,EPL
3,13,2,3,11,17,19,28,97.22,83.33,18,10,2,9,57.63,65.15,37.23,62.77,55.56,20,47,47,2,2,EPL
27,14,12,6,14,29,17,28,84.44,82.95,9,13,23,12,73.39,65.82,55.72,44.28,25,33.33,20,20,10,6,EPL
11,22,3,5,20,14,29,23,78.99,87.96,16,9,7,19,65.26,74.17,43.71,56.29,27.08,42.31,32,32,9,10,EPL
5,21,3,7,12,19,35,14,55.75,75,10,8,4,18,54.07,84.57,34.32,65.68,60,61.36,39,39,2,17,EPL
16,16,6,7,20,11,24,25,87.5,81.75,10,15,12,10,66.03,77.5,44.41,55.59,38.33,37.5,31,31,5,8,EPL
7,17,3,2,36,34,36,28,67.28,82.67,7,17,5,12,61.73,68.79,50.71,49.29,50,55.26,24,24,8,5,EPL
16,10,7,3,14,17,24,30,59.09,71.15,7,10,13,5,59.44,63.97,40.54,59.46,57.69,69.23,52,52,5,3,EPL
21,8,8,3,12,34,22,23,86.27,81.48,7,23,17,8,73.09,51.74,66.58,33.42,56.25,50,44,44,15,2,EPL
23,7,5,1,16,17,13,27,81.82,50,3,13,15,7,82.09,58.76,63.31,36.69,75,50,62,62,11,1,EPL
24,20,7,7,17,9,22,17,69.05,68.75,10,10,19,14,66.93,67.45,51.98,48.02,83.33,54.17,37,37,6,8,EPL
11,12,3,6,10,9,14,28,88.89,84.09,13,15,9,9,62.75,55.95,50.76,49.24,50,22.22,56,56,6,8,EPL
21,17,11,5,23,6,28,21,78,64.71,11,5,16,13,73.76,66.09,45.02,54.98,50,46.15,47,47,5,4,EPL
16,13,5,6,23,9,33,39,75.93,61.67,6,22,12,11,63.29,57.68,53.27,46.73,65.79,44.44,37,37,10,8,EPL
5,15,2,4,15,7,17,17,96.67,86.67,8,21,4,14,57.04,69.14,38.71,61.29,60,7.14,34,34,0,6,EPL
11,20,5,4,19,14,22,30,80,71.67,10,11,10,6,64.97,70.82,42.29,57.71,48.81,50,29,29,4,8,EPL
18,12,5,4,23,7,47,32,83.33,74.14,8,11,13,9,60.24,67.25,44.7,55.3,61.54,40,48,48,2,8,EPL
16,7,6,2,20,12,18,30,88.24,88.41,10,15,8,5,76.74,60.72,54.33,45.67,24.24,28.57,36,36,5,2,EPL
9,13,1,4,13,20,36,19,81.48,70.59,15,15,6,11,52.54,67.29,44.53,55.47,55.56,42.86,20,20,3,6,EPL
19,13,6,5,13,22,30,34,81.33,84.52,9,11,15,10,80.46,68.16,60.21,39.79,27.08,33.33,31,31,8,6,EPL
6,17,1,4,40,7,34,27,56.9,63.04,9,10,5,15,58.01,76.46,32.99,67.01,56.67,65,22,22,2,10,EPL
16,12,8,4,25,24,24,34,78.26,74,15,13,13,8,77.16,67.62,53.43,46.57,43.75,38.46,22,22,4,4,EPL
3,17,0,4,25,29,27,23,82.69,63.16,13,12,1,16,64.63,75.7,39.26,60.74,57.69,26.32,41,41,3,4,EPL
10,13,3,6,14,11,28,11,45.83,80,12,10,6,11,51.13,75.4,40.82,59.18,50,76.47,34,34,0,1,EPL
16,9,4,5,24,20,26,27,79.17,75.69,14,11,11,8,65.69,60.35,50.02,49.98,58.33,38.46,36,36,10,6,EPL
24,10,10,4,17,22,24,22,68.18,62.5,9,11,18,6,76.77,63.02,60.74,39.26,53.57,58.33,24,24,13,5,EPL
18,6,3,2,16,17,18,27,74.36,78.85,11,11,9,5,74.98,62.96,57.58,42.42,54.55,57.14,20,20,4,3,EPL
15,10,3,2,17,12,18,21,81.25,55,11,10,12,8,77.69,69.15,55.6,44.4,64.29,42.86,45,45,7,6,EPL
18,4,9,1,18,16,17,29,67.86,76,10,8,16,1,85.08,54.53,64.82,35.18,40,62.5,21,21,9,4,EPL
20,2,7,0,15,23,36,26,81.67,73.91,14,6,18,1,76.5,78.47,46.51,53.49,53.85,40.62,18,18,1,2,EPL
16,7,7,2,14,8,26,32,64.29,56.25,10,10,14,5,70.55,53.66,54.15,45.85,61.76,53.33,51,51,6,2,EPL
15,14,5,5,15,21,35,26,84.48,81.82,6,17,12,13,63.68,72.77,47.02,52.98,30.77,35.71,33,33,6,5,EPL
23,9,9,2,12,19,21,35,66.67,81.67,7,12,17,8,70.42,44.06,68.55,31.45,46.15,46.15,48,48,12,2,EPL
23,11,6,5,12,14,17,26,71.11,70.83,11,17,16,7,77.61,54.74,67.95,32.05,46.88,55.56,21,21,9,0,EPL
29,15,6,6,8,14,28,25,62.32,63.04,8,10,25,12,70.11,67.34,56.92,43.08,75,59.38,36,36,8,8,EPL
14,12,7,6,15,22,54,36,67.92,72.44,10,11,10,8,67.67,71.61,50.16,49.84,40.83,55.56,39,39,3,9,EPL
25,5,8,2,28,12,26,27,74.6,58.7,8,14,15,5,65.38,63.26,53.61,46.39,76.92,72.22,31,31,9,4,EPL
4,18,0,7,15,28,39,36,81.77,73.33,11,9,3,11,59.3,79.38,42.25,57.75,52.94,44.12,18,18,2,6,EPL
8,12,7,3,11,10,12,24,75,90.48,8,14,6,12,68.13,54.21,58.84,41.16,18.18,60,39,39,8,4,EPL
12,13,5,6,13,9,26,21,55.83,65.79,14,9,8,6,58.08,70.05,46.44,53.56,59.09,75,34,34,6,7,EPL
18,11,7,3,9,12,27,28,92,66,10,14,10,8,62.62,64.9,48.07,51.93,53.12,25,52,52,4,5,EPL
16,15,5,4,21,20,27,26,76,58.33,11,6,9,12,60.7,64.36,50.15,49.85,67.86,50,50,50,9,5,EPL
15,15,2,7,36,10,20,26,94.74,48.41,13,8,11,10,64.13,76.88,44.84,55.16,85.71,14.29,20,20,6,7,EPL
18,4,5,3,20,20,19,22,60.42,78.12,13,10,16,4,77.78,59.35,57.65,42.35,33.33,65,57,57,7,1,EPL
12,16,2,7,25,15,21,33,64.71,73.56,9,17,7,14,74.57,70.82,51.01,48.99,60,54.17,17,17,6,8,EPL
12,8,2,2,13,14,25,28,79.55,66.67,5,9,10,5,62.98,64.56,54.55,45.45,53.57,32.14,47,47,5,4,EPL
15,13,5,3,15,17,29,39,88.67,79.03,14,16,11,11,71.89,76.53,49.46,50.54,46.88,22.22,21,21,3,1,EPL
9,18,3,6,32,13,19,22,73.33,77.78,12,19,7,13,62.54,74.4,45.72,54.28,37.5,50,45,45,2,7,EPL
18,10,4,3,11,25,25,35,66.67,72.41,14,9,14,9,70.95,71.53,48.26,51.74,44.74,53.33,28,28,10,5,EPL
16,8,5,2,17,15,22,18,55.56,80,17,8,10,5,55.77,57.09,53.41,46.59,50,50,49,49,11,3,EPL
8,15,0,7,10,14,32,28,65.38,75,13,6,6,12,74.34,68.8,53.43,46.57,59.09,76.92,15,15,1,6,EPL
20,5,6,1,14,9,15,28,91.67,81.16,6,10,16,2,77.1,58.85,58.51,41.49,76.19,12.5,40,40,7,2,EPL
26,9,6,5,15,30,19,24,77.78,71.67,7,18,14,4,72.11,59.07,67.26,32.74,60,44.44,55,55,3,2,EPL
6,25,1,7,16,16,30,14,78.26,79.17,12,6,3,18,54.5,76.78,39.69,60.31,42.86,41.67,35,35,2,11,EPL
34,7,11,3,19,25,14,23,92.31,69.3,10,11,30,4,81.07,55.17,65.21,34.79,50,100,22,22,12,3,EPL
9,6,5,1,18,18,37,39,67.74,70.97,9,7,7,4,64.24,69.05,44.81,55.19,52.38,50,30,30,3,3,EPL
26,7,2,3,12,23,12,27,81.82,71.15,13,8,20,7,79.04,49.66,64.47,35.53,39.47,25,28,28,14,2,EPL
29,8,10,2,12,11,19,27,96.88,68.94,9,6,22,4,78.41,57.82,62.73,37.27,43.75,8.33,35,35,9,5,EPL
17,13,5,6,8,15,27,27,86.36,56.52,21,10,9,7,72.7,63.4,49.91,50.09,64.29,44.44,60,60,4,6,EPL
14,19,6,7,27,14,42,30,61.76,88.67,11,9,9,15,70.84,77.8,38.4,61.6,23.81,60.87,19,19,1,9,EPL
14,17,6,5,18,11,21,22,68.42,72.22,14,12,8,12,59.8,59.81,48.76,51.24,50,42.86,37,37,7,7,EPL
16,11,10,7,9,18,30,32,80.36,61.81,9,11,14,8,71.24,81.19,45.2,54.8,48.33,42.86,19,19,5,6,EPL
23,10,6,7,21,20,18,26,75,68.12,14,12,16,6,75.15,63.57,56.85,43.15,45.83,50,24,24,9,8,EPL
17,14,7,1,18,7,22,21,76.19,69.44,10,8,14,9,75.75,65.04,52.36,47.64,45.83,45.45,28,28,9,6,EPL
6,17,2,8,9,16,33,18,77.98,79.41,9,10,6,10,54.83,67.95,36.81,63.19,50,37.04,35,35,3,10,EPL
13,8,5,5,9,18,20,26,73.53,80.43,6,9,10,6,56.29,46.19,53.05,46.95,26.47,71.43,57,57,7,4,EPL
11,15,4,7,17,11,34,19,56.79,100,10,11,5,15,65.26,68.17,49.37,50.63,0,54.55,28,28,4,9,EPL
12,9,2,5,19,14,27,32,65.15,51.92,16,9,10,8,69.39,70.68,44.56,55.44,92.86,61.9,22,22,4,3,EPL
8,17,4,8,21,12,33,21,72.22,86.11,12,16,4,13,61.31,65.38,48.77,51.23,37.5,58.33,35,35,3,8,EPL
10,17,5,4,16,9,34,22,75.86,95.45,11,6,7,15,65.73,75.78,42.61,57.39,14.29,39.47,50,50,6,8,EPL
4,21,1,9,28,15,39,27,49.13,53.51,12,7,4,17,76.45,75.79,38.64,61.36,76.92,65.67,28,28,2,16,EPL
12,23,4,7,13,10,31,19,69.75,73.53,15,16,8,20,69.5,82.17,36.6,63.4,37.5,57.78,38,38,3,7,EPL
3,10,1,2,13,12,29,12,80.3,100,17,16,2,5,55.32,79.92,37.66,62.34,0,45.83,28,28,6,4,EPL
21,12,5,4,19,10,26,35,73.02,74.71,9,13,18,11,65.72,57.38,53.4,46.6,50,63.64,33,33,14,9,EPL
12,30,7,11,10,9,20,13,58.33,91.67,7,8,11,25,73.49,77.99,41.36,58.64,20,62.5,24,24,4,10,EPL
12,8,7,4,20,5,27,20,62.7,85,11,7,6,6,66.9,72.1,49.73,50.27,37.5,68.06,29,29,8,2,EPL
9,18,1,3,16,9,27,19,74,88.89,8,8,5,14,61.72,76.73,40.24,59.76,25,41.18,23,23,5,7,EPL
15,15,7,7,17,10,21,24,45.37,82.61,13,18,10,10,77.49,57.08,59.65,40.35,40,75.64,31,31,2,2,EPL
9,8,1,3,21,30,27,20,70.67,86.11,14,12,5,8,63.15,69.4,48.45,51.55,30,56.41,36,36,3,5,EPL
17,11,3,3,20,21,25,17,88.64,64.71,10,12,13,7,70.67,73.41,49.05,50.95,75,23.08,35,35,11,2,EPL
26,7,15,1,15,11,18,23,79.41,83.33,6,11,17,7,82.4,73.8,56.31,43.69,31.82,50,21,21,8,4,EPL
14,20,9,7,12,9,21,16,80.7,86.67,11,16,11,16,71.64,74.59,41.74,58.26,22.22,44.44,42,42,3,6,EPL
12,10,2,5,22,11,18,27,58.33,62,13,16,10,8,67.42,64,59.24,40.76,62.5,60.61,38,38,8,5,EPL
21,4,4,3,9,15,20,31,56.67,64.58,9,16,13,2,75.16,58.98,57.52,42.48,55.88,46.43,40,40,10,3,EPL
21,5,3,1,11,19,9,22,88.89,67.5,12,16,18,5,84.23,54.16,70.73,29.27,63.64,33.33,44,44,12,3,EPL
10,11,2,4,6,16,26,30,87.3,80.77,9,10,5,7,62.15,55.07,55.64,44.36,62.5,30,31,31,2,2,EPL
9,26,3,13,12,12,26,29,50,55.77,7,4,7,22,60.35,81.15,35.89,64.11,92.31,80.77,29,29,3,7,EPL
13,10,6,3,7,17,21,25,67.78,67.59,14,11,10,7,72.15,62.18,51.87,48.13,53.03,50,31,31,6,5,EPL
22,4,5,1,14,21,30,32,81.25,76.79,8,12,19,3,80.44,56.99,60.09,39.91,34.21,45.45,42,42,11,4,EPL
14,11,3,4,17,16,34,26,75.86,66.67,17,9,11,6,80.99,71.47,50.38,49.62,53.57,50,18,18,4,4,EPL
23,8,9,4,19,17,32,27,73.08,70.45,13,6,21,7,83.3,73.05,55.42,44.58,38.24,53.57,19,19,8,2,EPL
16,20,7,8,18,17,35,23,77.59,84.09,14,11,14,13,64.89,71.97,45.71,54.29,25,46.67,47,47,5,4,EPL
16,15,8,3,14,8,28,24,78.57,76.19,10,12,13,10,60.5,57.48,47.34,52.66,45.45,68.75,56,56,6,8,EPL
17,17,5,8,12,10,29,34,70.83,75.64,9,17,15,15,69.34,60.77,56.4,43.6,31.67,58.33,46,46,12,7,EPL
17,14,8,4,16,30,29,24,69.23,79.37,8,4,14,12,65.75,72.26,46.78,53.22,40.91,53.33,16,16,7,3,EPL
20,5,6,2,15,15,18,17,97.78,57.14,10,15,13,3,64.44,68.47,44.47,55.53,92.86,16.67,35,35,3,3,EPL
15,9,6,2,14,19,14,10,78.57,72.22,5,7,12,8,76.85,73.56,52.41,47.59,100,37.5,8,8,7,5,EPL
29,11,8,6,9,14,15,30,73.33,82.14,5,10,19,10,83.64,50.54,70.1,29.9,27.78,80,26,26,7,2,EPL
16,15,5,7,6,23,17,29,90.62,80.36,13,10,13,11,78.65,63.91,56.77,43.23,33.33,16.67,23,23,9,9,EPL
13,10,5,2,13,13,17,27,88.89,92.31,13,13,11,8,63.02,57.93,52.17,47.83,22.22,20.83,67,67,4,8,EPL
29,3,8,0,39,21,22,23,90,81.48,13,8,26,2,77.62,70.64,49.77,50.23,40,27.78,25,25,9,3,EPL
20,12,4,2,13,10,13,23,91.67,82.89,14,10,15,8,70.92,58.31,55.49,44.51,27.78,33.33,49,49,8,2,EPL
18,10,8,1,3,19,27,26,54.55,65.91,13,15,14,8,80,72.52,50.88,49.12,62.5,80.77,21,21,4,4,EPL
15,8,8,4,26,17,38,37,81.67,74.17,8,12,11,7,71.76,62.62,58.92,41.08,48.68,36.11,24,24,11,4,EPL
20,9,5,7,13,15,14,22,78.57,84.21,12,10,15,6,79.08,62.74,63.43,36.57,17.65,33.33,23,23,6,2,EPL
19,8,3,1,13,12,30,33,78.85,62.07,13,12,13,6,71.84,63.56,56.04,43.96,52.17,54.55,36,36,7,4,EPL
18,6,5,2,16,13,26,16,85,96.15,12,13,13,6,67.53,53.36,60.02,39.98,10,80,32,32,7,4,EPL
28,7,7,2,19,13,15,25,71.43,71.74,7,12,26,6,75.2,62.72,59.03,40.97,70,50,21,21,7,1,EPL
13,2,2,0,18,16,21,19,90,59.38,9,15,7,2,68.25,61.68,53.2,46.8,81.25,22.22,43,43,3,2,EPL
12,14,5,5,9,11,30,37,67.33,72.73,11,16,7,7,72.43,65.56,49,51,42.86,48.25,28,28,11,1,EPL
18,10,9,3,18,15,23,43,70.37,73.12,12,9,13,6,75.1,59.4,54.21,45.79,61.76,65,31,31,8,2,EPL
20,12,4,5,11,17,29,25,73.91,88.89,12,11,15,9,67.61,65.34,52.45,47.55,25,46.43,30,30,4,5,EPL
11,17,4,4,13,8,33,31,86.42,75.31,12,12,7,13,69.04,74.45,40.65,59.35,57.69,34.62,29,29,2,5,EPL
8,16,3,5,12,17,28,18,52.08,88.24,11,17,7,8,68.52,65.65,50.35,49.65,22.22,56.82,33,33,2,6,EPL
12,11,7,6,18,20,25,24,75,80.43,10,12,10,8,70.29,74.05,47.13,52.87,31.25,46.15,28,28,6,1,EPL
10,9,4,4,19,12,17,15,93.75,82.14,18,12,8,5,72.01,64.36,54.54,45.46,50,100,37,37,5,2,EPL
23,9,8,1,10,20,24,40,76.32,84.85,14,9,21,7,80.41,61.92,61.98,38.02,28.95,37.5,19,19,10,4,EPL
8,10,2,6,16,15,25,26,84.85,87.5,10,10,6,9,73.91,75.17,48.19,51.81,30,36.36,38,38,2,1,EPL
10,20,5,7,16,10,28,34,54.39,66.67,1,11,7,14,78.66,75.19,51.4,48.6,55.56,74.36,9,9,7,8,EPL
10,14,5,7,13,13,20,31,69.44,71.97,12,10,8,11,80.41,77.34,52.38,47.62,46.67,60,17,17,8,5,EPL
17,7,8,2,15,20,26,32,80.95,68.52,5,6,13,5,76.36,59.03,54.74,45.26,52.78,78.57,34,34,11,4,EPL
15,5,5,2,6,10,23,29,75.44,76,9,15,13,4,75.46,58.35,54.23,45.77,65,46.67,51,51,5,5,EPL
16,15,9,7,11,9,27,19,90.91,77.78,15,10,12,10,65.49,72.04,46.81,53.19,57.14,13.33,33,33,14,5,EPL
14,15,4,5,20,21,30,27,75.36,86,10,15,7,13,69.13,67.92,49.88,50.12,23.33,40.48,37,37,5,8,EPL
16,12,5,3,21,12,28,13,75.83,83.33,11,6,12,10,67.55,58.76,51.46,48.54,100,75,53,53,8,3,EPL
10,11,2,5,17,12,30,19,85.42,90,11,7,7,7,62.3,58.34,54.8,45.2,22.22,38.89,32,32,3,6,EPL
13,9,5,6,14,23,26,32,96.67,76.67,13,14,10,7,60.77,55.37,54.09,45.91,46.67,25,49,49,7,2,EPL
13,6,4,1,18,9,20,24,77.78,88.64,11,16,10,5,82.99,71.55,61.53,38.47,25,40,23,23,5,2,EPL
16,17,7,5,20,10,51,26,72.36,72.22,8,18,7,6,63.75,75.68,35.8,64.2,50,51.45,25,25,1,12,EPL
16,10,11,2,20,23,25,33,70,69.87,10,15,10,8,70.69,70.58,54.4,45.6,83.33,46.67,35,35,4,4,EPL
14,11,9,3,20,24,44,28,67.65,84.72,15,9,9,10,66.99,69.88,46.26,53.74,33.33,54.55,32,32,6,6,EPL
9,17,1,6,17,11,25,33,71.93,64.52,13,13,7,12,74.76,80.4,46.61,53.39,50,66.67,14,14,6,6,EPL
22,11,7,1,13,16,17,21,71.88,68.52,9,11,20,7,80.28,64.39,59.83,40.17,50,45.45,36,36,5,5,EPL
17,9,3,4,14,29,21,28,70.59,91.67,10,12,11,7,77.35,68.86,60.45,39.55,12.5,50,28,28,10,2,EPL
15,8,5,2,5,7,15,20,92.31,80,9,9,10,7,71.88,60.06,57.44,42.56,80,33.33,64,64,12,4,EPL
20,14,10,6,13,15,19,29,93.75,72.92,12,16,14,10,72.39,73.48,51.69,48.31,50,50,38,38,7,2,EPL
18,16,9,6,15,17,23,21,72.5,67.65,16,11,14,13,76.11,56.95,60.73,39.27,45.83,50,31,31,9,5,EPL
14,9,7,4,14,12,13,23,81.82,58.33,12,19,9,5,65.09,59.92,57.31,42.69,61.54,50,39,39,4,2,EPL
17,11,7,3,14,30,28,28,80.67,78.85,6,10,16,9,86.52,64.7,61.74,38.26,35.29,36.67,16,16,9,7,EPL
22,21,10,10,14,13,24,16,72.5,78.57,16,10,17,16,66.91,73.32,48.44,51.56,27.27,50,25,25,3,3,EPL
16,9,2,2,18,18,25,23,76.09,77.78,18,11,12,10,64.82,70.33,44.45,55.55,45.45,42.31,40,40,7,2,EPL
9,12,4,1,12,17,21,21,70,87.5,8,10,8,11,60.96,77.52,38.16,61.84,20,60,31,31,7,6,EPL
18,21,2,9,29,17,42,22,67.22,70,7,10,14,13,72.69,69.82,49.41,50.59,46.15,50,25,25,7,6,EPL
18,8,8,3,12,17,38,32,78.45,86.96,12,13,12,6,56.03,65.01,50.64,49.36,31.82,57.58,36,36,4,3,EPL
6,9,1,5,17,15,30,35,80,83.95,10,17,5,8,74.31,69.37,43.65,56.35,28.12,46.15,29,29,6,11,EPL
28,12,9,4,10,10,13,25,76.92,67.39,9,10,23,9,75.75,67.87,54.7,45.3,57.14,50,43,43,4,2,EPL
13,7,7,3,14,17,22,28,73.96,64.49,13,13,10,5,79.31,63.64,61.21,38.79,54.44,57.41,25,25,6,6,EPL
22,10,6,2,17,22,26,32,88.64,59.62,9,11,16,8,76.4,69.73,50.29,49.71,61.11,31.25,20,20,10,5,EPL
26,11,10,2,12,11,16,32,93.33,79.63,9,7,21,9,82.12,58.46,64.78,35.22,34.38,20,21,21,9,4,EPL
32,16,9,7,16,13,20,34,93.75,68.33,10,8,25,12,74.15,65.22,51.83,48.17,47.73,9.09,37,37,5,4,EPL
18,14,8,5,8,33,32,20,64.81,82.29,9,9,14,13,62.6,74.9,47.12,52.88,50,55.56,15,15,7,5,EPL
12,20,5,10,8,19,35,37,91.94,74.07,13,8,11,17,66.12,67.01,46.51,53.49,37.5,23.08,38,38,4,13,EPL
14,21,3,7,13,16,15,18,92.86,77.78,12,13,10,15,58.97,64.41,45.18,54.82,100,11.11,33,33,7,13,EPL
9,19,5,7,11,11,29,13,80.21,100,7,13,4,13,61.13,83.2,34.58,65.42,0,30.56,15,15,0,12,EPL
11,14,4,6,11,13,24,18,50,96.88,10,7,11,13,64.13,80.45,35.89,64.11,16.67,91.67,17,17,0,12,EPL
20,11,7,6,24,15,21,19,76.47,63.16,10,13,16,10,72.43,71.5,49.93,50.07,46.67,40.91,42,42,4,4,EPL
17,10,3,3,14,15,23,27,93.18,84.62,7,11,16,7,68.88,73.36,44.96,55.04,30.77,18.18,38,38,8,6,EPL
9,11,2,1,16,10,11,30,100,67.24,9,17,6,8,58.81,49.75,53.06,46.94,43.18,0,73,73,10,3,EPL
16,7,4,3,21,14,22,21,86.11,71.88,13,13,11,6,66.85,67.91,53.53,46.47,55.56,20.83,32,32,10,6,EPL
14,11,6,5,12,18,27,24,86.96,57.14,11,12,12,8,79.89,71.17,56.75,43.25,67.86,36.36,31,31,8,6,EPL
9,13,2,4,19,21,18,23,59.38,64.29,16,13,7,10,59.03,59.16,55.83,44.17,41.67,77.78,59,59,6,5,EPL
15,10,3,3,9,11,48,44,76.5,71.62,12,13,10,8,71.27,78.6,46.22,53.78,61.76,45.83,13,13,4,7,EPL
16,11,8,3,10,9,22,37,95,66.67,10,14,14,8,74.64,71.6,49.26,50.74,51.51,14.29,38,38,11,3,EPL
14,7,5,2,13,26,18,25,93.75,75,16,7,12,6,71.65,52.24,57.04,42.96,45.45,25,38,38,8,2,EPL
8,20,3,5,28,8,22,17,80,83.33,14,8,6,16,65.87,85.63,34.44,65.56,27.27,44.44,29,29,5,6,EPL
18,9,6,3,10,20,21,29,80.56,70.63,14,15,16,6,73.67,59.19,62.37,37.63,38.54,28.57,37,37,6,2,EPL
14,9,4,4,16,14,27,24,83.33,87.5,12,14,8,9,84.2,61.49,62.88,37.12,25,55.56,25,25,5,8,EPL
12,18,2,2,8,9,30,14,64.39,78.57,13,18,10,15,59.2,68.42,49.84,50.16,50,51.04,54,54,5,5,EPL
23,11,6,3,13,15,36,40,74.07,66.67,11,14,16,6,74.36,56.94,67.63,32.37,42.31,42.11,23,23,14,3,EPL
14,9,4,4,10,19,27,17,81.82,78.12,12,15,11,6,54.43,67.53,44.55,55.45,58.33,45.45,48,48,9,1,EPL
